Study,Well,Sample Name,Detector Name,PrimerPair,Replicate,Sample,CellLine,ExposureTime,BCM,Row,Col,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
011717,166,G22,sybr,RNU6,1,011717_VK2_MEDIA_1hr,VK2,1hr,MEDIA,G,22,SYBR,Unknown,20.98295,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,214,I22,sybr,RNU6,1,011717_VK2_DL_0_08_1hr,VK2,1hr,DL_0_08,I,22,SYBR,Unknown,22.30888,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,262,K22,sybr,RNU6,1,011717_VK2_DL_0_06_1hr,VK2,1hr,DL_0_06,K,22,SYBR,Unknown,32.214268,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,310,M22,sybr,RNU6,1,011717_VK2_L_0_08_1hr,VK2,1hr,L_0_08,M,22,SYBR,Unknown,22.231026,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,358,O22,sybr,RNU6,1,011717_VK2_L_0_06_1hr,VK2,1hr,L_0_06,O,22,SYBR,Unknown,21.461351,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,23,A23,sybr,RNU6,2,011717_VK2_LCRISP_1hr,VK2,1hr,LCRISP,A,23,SYBR,Unknown,22.50824,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,71,C23,sybr,RNU6,2,011717_VK2_LINERS_1hr,VK2,1hr,LINERS,C,23,SYBR,Unknown,21.417597,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,119,E23,sybr,RNU6,2,011717_VK2_GVAG_1hr,VK2,1hr,GVAG,E,23,SYBR,Unknown,20.305779,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,167,G23,sybr,RNU6,2,011717_VK2_MEDIA_1hr,VK2,1hr,MEDIA,G,23,SYBR,Unknown,20.99336,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,215,I23,sybr,RNU6,2,011717_VK2_DL_0_08_1hr,VK2,1hr,DL_0_08,I,23,SYBR,Unknown,22.163063,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,263,K23,sybr,RNU6,2,011717_VK2_DL_0_06_1hr,VK2,1hr,DL_0_06,K,23,SYBR,Unknown,20.970194,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,311,M23,sybr,RNU6,2,011717_VK2_L_0_08_1hr,VK2,1hr,L_0_08,M,23,SYBR,Unknown,22.2188,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,359,O23,sybr,RNU6,2,011717_VK2_L_0_06_1hr,VK2,1hr,L_0_06,O,23,SYBR,Unknown,21.956392,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,24,A24,sybr,RNU6,3,011717_VK2_LCRISP_1hr,VK2,1hr,LCRISP,A,24,SYBR,Unknown,22.274633,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,72,C24,sybr,RNU6,3,011717_VK2_LINERS_1hr,VK2,1hr,LINERS,C,24,SYBR,Unknown,21.251158,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,120,E24,sybr,RNU6,3,011717_VK2_GVAG_1hr,VK2,1hr,GVAG,E,24,SYBR,Unknown,20.3978,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,168,G24,sybr,RNU6,3,011717_VK2_MEDIA_1hr,VK2,1hr,MEDIA,G,24,SYBR,Unknown,20.87305,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,216,I24,sybr,RNU6,3,011717_VK2_DL_0_08_1hr,VK2,1hr,DL_0_08,I,24,SYBR,Unknown,22.19788,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,264,K24,sybr,RNU6,3,011717_VK2_DL_0_06_1hr,VK2,1hr,DL_0_06,K,24,SYBR,Unknown,20.822073,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,312,M24,sybr,RNU6,3,011717_VK2_L_0_08_1hr,VK2,1hr,L_0_08,M,24,SYBR,Unknown,22.196993,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,360,O24,sybr,RNU6,3,011717_VK2_L_0_06_1hr,VK2,1hr,L_0_06,O,24,SYBR,Unknown,22.10535,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
